ID_MATCH;G_OR_A;PLAYER;MINUTE
3;Goal;;54
3;Assist;D. Ruiz;55
7;Assist;R. Taylor;39
8;Goal;J. Alba;92
9;Goal;;57
9;Goal;L. Suarez;62
9;Goal;L. Suarez;52
11;Assist;L. Suarez;8
11;Goal;L. Suarez;23
12;Goal;F. Negri;58
13;Assist;D. Gomez;85
14;Assist;D. Gomez;18
14;Goal;D. Ruiz;51
15;Goal;L. Suarez;11
15;Assist;S. Busquets;39
15;Goal;;81
16;Goal;R. Taylor;32
16;Goal;S. Busquets;67
16;Assist;L. Suarez;88
17;Assist;M. Rojas;48
17;Goal;L. Suarez;50
17;Assist;M. Rojas;62
17;Assist;L. Suarez;68
17;Assist;L. Suarez;75
17;Assist;L. Suarez;81