ID_MATCH;COMPETITION;DATE;Titular;CLUB;OPPONENT;VENUE;MINUTES;GOAL;ASSIST;RESULT;SCORE;FOULS SUFFERED;SHOTS ON TARGET;
1;Club Friendly;19/jan;Starter;Inter Miami;El Salvador;A;46;0;0;D;;;;
2;MLS Preseason;22/jan;Starter;Inter Miami;Dallas;A;64;0;0;L;7,50;0;2;
3;Riyadh Season Cup;29/jan;Starter;Inter Miami;Al-Hilal;A;88;1;1;L;8,10;2;1;
4;Riyadh Season Cup;01/fev;Substitute;Inter Miami;Al-Nassr;A;13;1;0;L;6,40;0;0;
5;MLS Preseason;07/fev;Substitute;Inter Miami;Vissel Kobe;A;33;0;0;L;6,40;0;2;
6;MLS Preseason;15/fev;Starter;Inter Miami;Newell's;H;60;0;0;D;7,20;0;0;
7;MLS;21/fev;Starter;Inter Miami;Salt Lake;H;94;0;1;W;7,80;2;2;
8;MLS;25/fev;Starter;Inter Miami;LA Galaxy;A;97;1;0;D;8,40;2;3;
9;MLS;02/mar;Starter;Inter Miami;Orlando;H;90;2;0;W;9,10;3;2;
10;Champions Cup;07/mar;Starter;Inter Miami;Nashville;A;97;1;0;D;7,90;0;2;
11;Champions Cup;13/mar;Starter;Inter Miami;Nashville;H;50;1;1;W;8,50;1;1;
12;MLS;06/abr;Substitute;Inter Miami;Colorado;H;50;1;0;D;8,50;0;2;
13;Champions Cup;10/abr;Starter;Inter Miami;Monterrey;A;91;0;1;L;7,50;1;0;
14;MLS;13/abr;Starter;Inter Miami;Kansas City;A;99;1;1;W;8,80;2;2;
15;MLS;20/abr;Starter;Inter Miami;Nashville;H;95;2;1;W;9,80;0;4;
16;MLS;27/abr;Starter;Inter Miami;New England;A;95;2;1;W;8,80;0;4;
17;MLS;04/mai;Starter;Inter Miami;NY Red Bulls;H;95;1;5;W;10,00;1;3;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;